,productId,entityId,acquisitionDate,cloudCover,processingLevel,path,row,min_lat,min_lon,max_lat,max_lon,download_url
101074,LC08_L1TP_101074_20140910_20170419_01_T1,LC81010742014253LGN01,2014-09-10 00:54:26.067891,0.0,L1TP,101,74,-21.29639,135.38331000000002,-19.181910000000002,137.61173,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/101/074/LC08_L1TP_101074_20140910_20170419_01_T1/index.html
101075,LC08_L1TP_101075_20140910_20170419_01_T1,LC81010752014253LGN01,2014-09-10 00:54:50.009760,0.0,L1TP,101,75,-22.73604,135.03551000000002,-20.62187,137.28505,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/101/075/LC08_L1TP_101075_20140910_20170419_01_T1/index.html
101076,LC08_L1TP_101076_20140910_20170419_01_T1,LC81010762014253LGN01,2014-09-10 00:55:13.947393,0.0,L1TP,101,76,-24.17465,134.67905,-22.06089,136.95283,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/101/076/LC08_L1TP_101076_20140910_20170419_01_T1/index.html
102074,LC08_L1TP_102074_20140901_20170420_01_T1,LC81020742014244LGN01,2014-09-01 01:00:34.128208,0.0,L1TP,102,74,-21.279989999999998,133.84133,-19.17875,136.05361000000002,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/102/074/LC08_L1TP_102074_20140901_20170420_01_T1/index.html
102075,LC08_L1TP_102075_20140901_20170420_01_T1,LC81020752014244LGN01,2014-09-01 01:00:58.065841,0.0,L1TP,102,75,-22.72355,133.49077,-20.61818,135.72548,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/102/075/LC08_L1TP_102075_20140901_20170420_01_T1/index.html
102076,LC08_L1TP_102076_20140901_20170420_01_T1,LC81020762014244LGN01,2014-09-01 01:01:22.007710,0.0,L1TP,102,76,-24.16635,133.13485,-22.05902,135.39378,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/102/076/LC08_L1TP_102076_20140901_20170420_01_T1/index.html
103073,LC08_L1TP_103073_20140908_20170419_01_T1,LC81030732014251LGN01,2014-09-08 01:06:23.426614,0.02,L1TP,103,73,-19.84103,132.63517,-17.73404,134.81473,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/103/073/LC08_L1TP_103073_20140908_20170419_01_T1/index.html
103074,LC08_L1TP_103074_20140908_20170419_01_T1,LC81030742014251LGN01,2014-09-08 01:06:47.364247,0.0,L1TP,103,74,-21.28521,132.28929,-19.17366,134.48617,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/103/074/LC08_L1TP_103074_20140908_20170419_01_T1/index.html
103075,LC08_L1TP_103075_20140908_20170419_01_T1,LC81030752014251LGN01,2014-09-08 01:07:11.301880,0.0,L1TP,103,75,-22.7284,131.93791000000002,-20.61447,134.15667,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/103/075/LC08_L1TP_103075_20140908_20170419_01_T1/index.html
103076,LC08_L1TP_103076_20140908_20170419_01_T1,LC81030762014251LGN01,2014-09-08 01:07:35.243749,0.01,L1TP,103,76,-24.17044,131.58022,-22.053620000000002,133.82262,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/103/076/LC08_L1TP_103076_20140908_20170419_01_T1/index.html
103077,LC08_L1TP_103077_20140908_20170419_01_T1,LC81030772014251LGN01,2014-09-08 01:07:59.185618,0.02,L1TP,103,77,-25.61121,131.21835,-23.49373,133.48325,https://s3-us-west-2.amazonaws.com/landsat-pds/c1/L8/103/077/LC08_L1TP_103077_20140908_20170419_01_T1/index.html
